model	precision	tag	status	seconds	log
llama2_7b	bf16	-	ok	759	/home/xdai/Lumen/examples/llama2/results/lumen_llama2_7b_bf16.log
llama2_7b	fp8	-	ok	744	/home/xdai/Lumen/examples/llama2/results/lumen_llama2_7b_fp8.log
llama2_7b	mxfp4	-	ok	660	/home/xdai/Lumen/examples/llama2/results/lumen_llama2_7b_mxfp4.log
llama31_8b	bf16	-	ok	1039	/home/xdai/Lumen/examples/llama31/results/lumen_llama31_8b_bf16.log
llama31_8b	fp8	-	ok	1009	/home/xdai/Lumen/examples/llama31/results/lumen_llama31_8b_fp8.log
llama31_8b	mxfp4	-	ok	919	/home/xdai/Lumen/examples/llama31/results/lumen_llama31_8b_mxfp4.log
qwen3_8b	bf16	-	ok	1411	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_bf16.log
qwen3_8b	fp8	-	ok	1413	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_fp8.log
qwen3_8b	mxfp4	-	ok	1288	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_mxfp4.log
llama2_7b	bf16	rep2	ok	739	/home/xdai/Lumen/examples/llama2/results/lumen_llama2_7b_rep2_bf16.log
llama2_7b	mxfp4	rep2	ok	667	/home/xdai/Lumen/examples/llama2/results/lumen_llama2_7b_rep2_mxfp4.log
llama31_8b	bf16	rep2	ok	1008	/home/xdai/Lumen/examples/llama31/results/lumen_llama31_8b_rep2_bf16.log
llama31_8b	mxfp4	rep2	ok	904	/home/xdai/Lumen/examples/llama31/results/lumen_llama31_8b_rep2_mxfp4.log
qwen3_8b	bf16	rep2	ok	1420	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_rep2_bf16.log
qwen3_8b	mxfp4	rep2	ok	1276	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_rep2_mxfp4.log
llama2_7b	mxfp4	tunedgemm	ok	613	/home/xdai/Lumen/examples/llama2/results/lumen_llama2_7b_tunedgemm_mxfp4.log
llama31_8b	mxfp4	tunedgemm	ok	882	/home/xdai/Lumen/examples/llama31/results/lumen_llama31_8b_tunedgemm_mxfp4.log
llama2_7b	fp8	lumlin	ok	741	/home/xdai/Lumen/examples/llama2/results/lumen_llama2_7b_lumlin_fp8.log
qwen3_8b	fp8	lumlin	ok	1428	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_lumlin_fp8.log
llama2_7b	bf16	c4_350	ok	2713	/home/xdai/Lumen/examples/llama2/results/lumen_llama2_7b_c4_350_bf16.log
llama2_7b	fp8	c4_350	ok	2691	/home/xdai/Lumen/examples/llama2/results/lumen_llama2_7b_c4_350_fp8.log
llama2_7b	mxfp4	c4_350	ok	1944	/home/xdai/Lumen/examples/llama2/results/lumen_llama2_7b_c4_350_mxfp4.log
llama31_8b	bf16	c4_350	ok	3353	/home/xdai/Lumen/examples/llama31/results/lumen_llama31_8b_c4_350_bf16.log
llama31_8b	fp8	c4_350	ok	3283	/home/xdai/Lumen/examples/llama31/results/lumen_llama31_8b_c4_350_fp8.log
llama31_8b	mxfp4	c4_350	ok	2477	/home/xdai/Lumen/examples/llama31/results/lumen_llama31_8b_c4_350_mxfp4.log
qwen3_8b	bf16	c4_350	ok	3579	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_c4_350_bf16.log
qwen3_8b	fp8	c4_350	ok	3602	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_c4_350_fp8.log
qwen3_8b	mxfp4	c4_350	ok	2713	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_c4_350_mxfp4.log
llama2_7b	fp8	smoke_na	ok	193	/home/xdai/Lumen/examples/llama2/results/lumen_llama2_7b_smoke_na_fp8.log
