trace: examples/qwen3/results/prof_clean_bf16/gbt350-odcdh2-c02-1_728697.1787680353258046455.pt.trace.json
iterations: 2   distinct kernels: 99
total GPU kernel time: 8896.2 ms/iter   (104.4% of a 8521 ms step)

=== streams (summed kernel time vs wall time the stream is busy) ===
          stream  summed ms/iter  busy ms/iter  kernels/iter
             0/1          8246.2        8196.3         14554
             0/5           649.9         649.7          3120
     all streams          8896.2        8388.6         17691

=== by category ===
category                 ms/iter   share  calls/iter
other gemm                5084.5   59.7%        3480
attention                 1731.7   20.3%        1152
grad accumulate            608.0    7.1%        3585
optimizer                  320.4    3.8%        2071
norm                       313.8    3.7%        3480
collectives                246.0    2.9%         226
activation                 244.9    2.9%         576
rope / embedding           170.2    2.0%        1152
elementwise other           74.9    0.9%        1289
copy / reshape              67.2    0.8%         391
reduce / loss               28.1    0.3%         176
unclassified                 6.5    0.1%         113

=== top 28 kernels ===
  ms/iter   share    calls  category             name
  1753.42   20.6%     1160  other gemm           Cijk_Ailk_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_SN_LDSB...
  1471.86   17.3%      872  other gemm           Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_CMS_SN_...
  1454.87   17.1%      872  other gemm           Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_CMS_SN_...
  1346.87   15.8%      288  attention            _ZN5aiter41fmha_bwd_hd128_bf16_causal_br_a32_psskddvE.kd
   421.73    4.9%     2344  grad accumulate      void at::native::vectorized_templated_elementwise_kernel<4, at::native::CUD...
   300.85    3.5%      288  attention            _ZN5aiter26fmha_fwd_hd128_bf16_causalE.kd
   283.25    3.3%      288  other gemm           Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x192x64_MI16x16x1_SN_LDSB...
   246.00    2.9%      226  collectives          ncclDevKernel_Generic_1(ncclDevKernelArgsStorage<4096ul>) [clone .kd]
   159.08    1.9%      288  activation           _swiglu_bwd_kernel.kd
   147.92    1.7%     1152  grad accumulate      void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_a...
   129.20    1.5%      576  norm                 _rmsnorm_bwd_triton.kd
   121.08    1.4%      288  other gemm           Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_CMS_SN_...
    88.67    1.0%      576  rope / embedding     void transformer_engine::fused_rope_backward_kernel<hip_bfloat16>(hip_bfloa...
    85.82    1.0%      288  activation           _swiglu_fwd_kernel.kd
    81.48    1.0%      576  rope / embedding     void transformer_engine::fused_rope_forward_kernel<hip_bfloat16>(hip_bfloat...
    67.55    0.8%      576  optimizer            void at::native::reduce_kernel<128, 4, at::native::ReduceOp<c10::BFloat16, ...
    65.33    0.8%      288  copy / reshape       void at::native::(anonymous namespace)::CatArrayBatchedCopy_contig<at::nati...
    53.76    0.6%      576  norm                 _rms_norm_kernel.kd
    43.56    0.5%      576  norm                 _narrow_rmsnorm_bwd_kernel.kd
    42.96    0.5%      288  attention            _ZN5aiter30fmha_bwd_hd128_dq_convert_bf16E.kd
    42.21    0.5%      592  optimizer            void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_k...
    41.07    0.5%      288  attention            _ZN5aiter23fmha_bwd_hd128_odo_bf16E.kd
    40.35    0.5%       72  optimizer            void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_k...
    37.42    0.4%       64  grad accumulate      void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_k...
    37.29    0.4%       64  optimizer            void at::native::vectorized_elementwise_kernel<4, at::native::exp_kernel_cu...
    37.09    0.4%       64  optimizer            void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_k...
    33.85    0.4%      576  norm                 _narrow_rmsnorm_fwd_kernel.kd
    31.39    0.4%      288  elementwise other    void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<...
