trace: examples/qwen3/results/prof_native_weight_cache/gbt350-odcdh2-c02-1_1224822.1787566313451491057.pt.trace.json
iterations: 2   distinct kernels: 110
total GPU kernel time: 8054.7 ms/iter   (132.7% of a 6069 ms step)

=== streams (summed kernel time vs wall time the stream is busy) ===
          stream  summed ms/iter  busy ms/iter  kernels/iter
             0/1          7291.5        7246.6         29162
             0/5           762.9         762.6          3120
     all streams          8054.7        7491.7         32316

=== by category ===
category                 ms/iter   share  calls/iter
attention                 2058.3   33.9%        1440
fp4 gemm                  1497.2   24.7%        3968
other gemm                1435.3   23.6%         672
grad accumulate            742.0   12.2%        4242
optimizer                  491.0    8.1%        6148
quantize / layout          454.3    7.5%        6200
norm                       337.1    5.6%        4640
activation                 318.8    5.3%         864
collectives                307.5    5.1%         229
rope / embedding           221.0    3.6%        1728
elementwise other           74.4    1.2%        1341
copy / reshape              67.1    1.1%         458
reduce / loss               42.8    0.7%         241
unclassified                 8.0    0.1%         146

=== top 60 kernels ===
  ms/iter   share    calls  category             name
  1345.98   22.2%      288  attention            _ZN5aiter41fmha_bwd_hd128_bf16_causal_br_a32_psskddvE.kd
   742.79   12.2%     2728  fp4 gemm             _ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E.kd
   703.56   11.6%      992  fp4 gemm             _ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E.kd
   638.03   10.5%      256  other gemm           Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_CMS_SN_...
   628.93   10.4%      576  attention            _ZN5aiter26fmha_fwd_hd128_bf16_causalE.kd
   488.49    8.0%     2344  grad accumulate      void at::native::vectorized_templated_elementwise_kernel<4, at::native::CUD...
   412.48    6.8%     2976  quantize / layout    _dual_layout_quant_mxfp4_kernel.kd
   380.60    6.3%      168  other gemm           Cijk_Ailk_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_SN_LDSB...
   344.47    5.7%      128  other gemm           Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_CMS_SN_...
   307.54    5.1%      229  collectives          ncclDevKernel_Generic_1(ncclDevKernelArgsStorage<4096ul>) [clone .kd]
   179.07    3.0%     1728  grad accumulate      void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_a...
   164.77    2.7%      576  activation           _swiglu_fwd_kernel.kd
   154.01    2.5%      288  activation           _swiglu_bwd_kernel.kd
   130.96    2.2%     1152  rope / embedding     void transformer_engine::fused_rope_forward_kernel<hip_bfloat16>(hip_bfloat...
   122.57    2.0%      576  norm                 _rmsnorm_bwd_triton.kd
    90.00    1.5%      576  rope / embedding     void transformer_engine::fused_rope_backward_kernel<hip_bfloat16>(hip_bfloa...
    83.96    1.4%     1152  norm                 _rms_norm_kernel.kd
    73.59    1.2%      128  grad accumulate      void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_k...
    73.18    1.2%      128  optimizer            void at::native::vectorized_elementwise_kernel<4, at::native::exp_kernel_cu...
    70.57    1.2%      128  optimizer            void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_k...
    68.84    1.1%      576  optimizer            void at::native::reduce_kernel<128, 4, at::native::ReduceOp<c10::BFloat16, ...
    65.00    1.1%      288  copy / reshape       void at::native::(anonymous namespace)::CatArrayBatchedCopy_contig<at::nati...
    56.18    0.9%     1176  optimizer            void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_k...
    54.45    0.9%      128  optimizer            void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16toflo...
    50.81    0.8%      248  fp4 gemm             _ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E.kd
    43.96    0.7%      576  norm                 _narrow_rmsnorm_bwd_kernel.kd
    42.33    0.7%      288  attention            _ZN5aiter30fmha_bwd_hd128_dq_convert_bf16E.kd
    41.67    0.7%     3100  optimizer            void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_k...
    41.07    0.7%      288  attention            _ZN5aiter23fmha_bwd_hd128_odo_bf16E.kd
    40.02    0.7%       72  optimizer            void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_k...
    38.90    0.6%       40  other gemm           Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x192x64_MI16x16x1_SN_LDSB...
    35.19    0.6%      168  optimizer            void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::nati...
    34.11    0.6%      128  reduce / loss        void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::nati...
    33.28    0.5%       80  other gemm           Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_CMS_SN_...
    32.77    0.5%     2976  quantize / layout    _swizzle_mxfp4_scale_gfx950_kernel.kd
    30.74    0.5%      288  elementwise other    void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<...
    28.43    0.5%       64  optimizer            void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16_copy...
    20.26    0.3%      576  norm                 _narrow_rmsnorm_dw_reduce_kernel.kd
    19.46    0.3%      296  elementwise other    void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c...
    19.02    0.3%      576  norm                 _narrow_rmsnorm_fwd_kernel.kd
    17.99    0.3%      576  norm                 _rmsnorm_kernel_large_m_small_n.kd
    17.86    0.3%      576  norm                 _rmsnorm_bwd_dg_reduce_triton.kd
    11.81    0.2%      112  elementwise other    void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor...
     8.65    0.1%      112  reduce / loss        void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::nati...
     7.66    0.1%       61  elementwise other    void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<f...
     5.88    0.1%        2  optimizer            void transformer_engine::multi_tensor_adam::custom_adam_kernel<float, float...
     5.77    0.1%        8  norm                 void transformer_engine::normalization::rmsnorm_bwd_tuned_kernel<transforme...
     4.83    0.1%      124  quantize / layout    _transpose_packed_fp4_kernel.kd
     4.26    0.1%      124  quantize / layout    _convert_to_mxfp4_kernel.kd
     4.22    0.1%        8  norm                 void transformer_engine::normalization::rmsnorm_bwd_finalize_tuned_kernel<t...
     2.68    0.0%       16  unclassified         void at::native::triu_tril_kernel<float, int, false, 2, false>(at::cuda::de...
     2.05    0.0%       50  optimizer            void multi_tensor_apply_kernel<TensorListMetadata<2, false>, transformer_en...
     2.01    0.0%        8  unclassified         void at::native::(anonymous namespace)::compute_grad_weight<c10::BFloat16, ...
     1.94    0.0%       50  optimizer            void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::nativ...
     1.90    0.0%      152  copy / reshape       __amd_rocclr_copyBuffer.kd
     1.71    0.0%       50  optimizer            void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::nativ...
     1.54    0.0%       16  norm                 void transformer_engine::normalization::rmsnorm_fwd_tuned_kernel<transforme...
     1.29    0.0%       16  optimizer            void at::native::vectorized_elementwise_kernel<4, at::native::compare_scala...
     1.13    0.0%      152  elementwise other    __amd_rocclr_fillBufferAligned.kd
     1.08    0.0%        8  unclassified         void at::native::(anonymous namespace)::sum_and_scatter<c10::BFloat16, long...
